Date,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
01/01/2009,24.57,23.97,24.57,24.93,25.83,26.91,26.67,25.32,25.71,27.57,26.46,26.79,27.15,27.27,27.51,28.35,29.31,28.74,28.77,27.48,28.41,29.25,31.32,31.26,31.5,32.19,30.21,29.76,30.84,31.44,31.44,29.88,29.13,28.32,27.84,27.87,26.58,25.95,25.95,25.35,25.17,24.78,23.4,23.37,24.33,22.23,22.26,22.53,21.93,20.76,21.99,22.32,20.34,18.69,19.77,18.66,19.47,20.28,19.74,19.65,18.6,18.21,19.14,19.44,20.07,21.09,23.1,22.59,23.82,24.39,25.2,25.38,25.68,25.71,25.92,24.48,25.35,26.4,27.66,26.97,26.22,26.01,25.98,26.76,25.86,25.26,26.1,25.14,26.1,25.02,26.76,25.74,28.2,26.7,25.02,25.65
01/02/2009,26.73,26.85,27,25.83,26.28,26.07,26.49,25.86,27.33,27.72,25.98,26.64,27.18,25.59,26.76,26.97,25.8,26.25,25.65,25.47,27.42,25.74,27.15,29.07,28.89,28.59,27.54,26.34,27.24,27.6,28.77,27.96,26.34,26.88,25.77,26.52,27.3,26.07,26.79,26.28,25.26,25.98,25.47,25.65,24.57,24.48,23.55,24.06,22.95,20.94,21.24,20.1,20.31,19.74,19.59,18.21,18.75,18.63,17.25,18.45,15.87,16.17,17.46,17.16,16.92,18.21,16.92,17.82,19.2,19.14,20.55,19.05,18.03,19.62,20.37,18.87,20.07,20.01,17.85,18.24,18.87,20.25,19.29,21.84,20.46,19.71,20.13,20.61,21.87,22.05,20.64,20.37,20.67,18.93,19.92,20.88
01/03/2009,19.11,19.8,20.64,20.64,18.99,20.22,22.38,20.19,17.94,19.44,19.44,19.56,17.94,17.28,17.64,18.84,19.38,19.77,18.03,17.61,17.4,18.39,20.31,21.24,20.31,19.29,19.23,18.57,19.38,18.75,20.82,21.54,20.04,18.18,19.23,16.35,17.04,14.55,15.84,15,13.86,13.92,13.62,13.17,11.76,12.42,12.03,12.78,12.15,12.3,12.03,10.98,12.18,11.67,11.58,12.75,12.57,12.81,12.45,13.41,12.6,13.89,14.19,13.41,13.89,15.63,14.49,16.05,17.67,18.84,18.78,19.26,18.81,19.2,19.11,20.55,21.18,20.25,20.97,22.92,20.58,22.44,22.26,21.54,21,24.66,22.95,22.53,24.57,24.57,23.64,24.3,23.76,22.89,22.83,25.56
01/04/2009,25.2,21.03,20.13,21.63,21.15,20.07,20.85,21.06,20.52,22.32,20.67,20.1,21.51,21.54,21.87,20.88,21.72,21.15,22.53,21.78,22.26,21.33,22.29,22.62,22.59,21.78,21.36,21.12,22.23,23.19,25.68,24.57,22.92,21.39,20.1,18.39,17.13,15.36,16.44,16.92,15.87,17.97,17.19,14.1,13.74,14.46,13.44,12.69,12.57,12.42,11.91,11.19,13.2,12.06,11.61,12.33,11.85,12.03,11.76,11.61,11.73,11.49,12.09,11.55,11.7,12.99,12.06,13.5,14.58,16.2,15.42,15.84,15.96,15.6,16.62,17.22,16.65,20.1,20.49,19.65,18.6,22.14,20.91,19.41,18.99,20.73,21.27,20.16,21.45,21.66,20.67,20.52,22.41,20.31,19.59,20.34
01/05/2009,19.77,19.26,20.07,20.61,20.73,19.71,19.68,18.81,20.4,19.41,19.83,19.26,19.56,20.58,20.43,19.29,20.88,19.08,20.82,19.41,19.86,19.68,19.5,20.61,20.37,21.9,42.93,57.27,57.78,59.52,61.53,64.35,68.88,72.39,73.14,71.64,73.74,74.76,72.93,71.49,70.83,64.83,56.97,63.78,62.82,61.5,61.17,61.59,61.08,60.93,59.85,57.42,56.16,54.66,54.57,54.21,55.11,52.44,51.39,52.74,39.51,33.21,30.54,27.78,22.44,18.78,18.57,18.03,19.65,17.73,18.18,18.42,17.22,16.41,16.29,15.33,14.88,13.29,10.59,11.31,11.52,12.54,11.49,10.2,9.54,9.12,9,8.91,9.63,9.75,9.72,9.81,10.05,8.22,8.37,9.06
01/06/2009,8.79,9.63,8.58,9.78,10.23,9.36,10.23,10.32,11.94,16.35,19.86,23.67,27.81,29.25,32.76,33.6,32.97,34.92,33.93,35.4,33.96,44.16,54.93,56.13,56.34,55.38,54.75,54.69,54.3,56.61,57.72,60.63,62.73,62.88,65.1,63.24,64.11,61.05,61.38,63.24,62.34,60.69,60.96,59.79,58.8,56.58,57.63,59.37,56.37,56.97,55.11,52.29,53.25,49.86,48.84,48,48.42,46.65,46.2,45.87,35.46,30.54,29.97,26.91,21.48,17.82,18.54,18.21,19.74,20.16,19.56,17.76,15.96,16.65,16.29,14.79,13.53,11.91,10.98,11.82,11.01,10.53,11.4,10.95,10.59,10.44,10.68,10.74,9.99,10.47,10.74,10.11,10.23,8.55,7.89,8.64
01/07/2009,7.62,8.1,8.67,8.07,8.85,8.55,8.4,9.21,9.39,12.21,15.3,22.35,26.67,30.9,34.26,34.74,34.56,35.28,29.85,28.23,27.69,40.02,53.64,55.02,53.37,51.36,50.46,50.49,47.01,47.04,45.63,44.4,43.98,44.7,42.93,41.01,45.33,44.01,46.02,46.05,45.75,45.75,45.3,36.54,19.83,18.45,19.02,18.63,19.11,19.47,19.38,19.89,18.69,19.17,19.02,19.68,18.66,19.98,19.35,18.18,15.84,17.61,17.07,17.13,11.4,7.47,8.01,7.86,11.04,9.69,10.17,10.2,10.26,10.59,10.8,10.77,9.6,9.78,10.56,10.41,10.08,10.86,10.44,10.38,10.23,10.32,11.04,10.5,11.25,11.22,10.65,10.47,10.92,8.76,8.49,9.09
01/08/2009,8.64,9.9,8.88,9.63,9.09,9.09,9.03,10.23,11.43,16.41,20.16,21.27,23.4,25.38,28.26,32.34,36.45,35.16,35.61,35.61,38.25,42.45,54.42,58.08,55.89,55.23,54.84,53.94,52.86,53.4,53.49,54.51,56.43,55.92,54.9,54.69,55.38,52.68,46.95,45.81,44.88,46.11,46.05,46.2,45.12,46.26,45.72,45.75,45.21,44.67,45.57,44.91,41.7,39.9,27.42,21.6,22.83,22.47,22.65,21.63,22.68,20.46,19.65,19.89,17.46,16.29,15.81,15.42,16.56,15.72,16.41,15.81,14.97,14.73,13.47,11.04,11.01,10.47,10.44,10.77,10.59,10.98,10.32,10.29,10.53,10.62,10.56,11.16,11.04,10.74,11.64,11.34,11.46,9.06,9.12,9.33
01/09/2009,9.33,9.48,9.3,9.09,9.66,9.84,10.56,10.05,10.98,13.29,17.28,25.74,31.89,35.13,37.5,39.15,39.36,39.36,40.5,40.65,39.06,49.26,54.72,56.1,55.32,54.03,52.86,52.53,51.96,53.34,55.95,60.81,61.74,61.8,61.8,57.63,54.39,51.9,54.03,55.2,58.17,59.91,60.36,60.9,61.38,61.2,59.04,57.75,57.9,56.52,56.52,55.83,56.28,52.95,51.54,50.58,50.13,50.46,49.11,48.51,37.92,28.5,25.89,24.69,20.1,16.95,15.96,15.18,17.97,18.24,17.46,16.17,16.26,12.12,10.32,11.01,10.05,12.12,11.4,10.71,10.17,11.01,10.83,10.89,11.28,11.22,11.34,11.28,11.22,11.13,11.94,11.25,11.67,9.18,9.57,10.14
01/10/2009,9.99,9.81,9.81,10.47,10.44,9.81,10.89,10.65,11.01,11.76,11.22,11.28,12.93,12.75,12.51,12.78,13.38,13.95,13.11,15.09,14.76,14.79,15.75,14.85,16.14,14.73,15.63,16.5,17.13,16.5,18.03,16.83,19.62,17.64,14.76,13.98,14.58,14.7,14.07,14.07,13.38,14.73,11.22,13.77,12.75,12.81,11.43,12.21,10.8,10.98,12.09,12.09,12.66,12.36,13.44,12.18,12.36,11.97,13.2,12.03,12.93,12.72,13.11,13.77,13.44,14.22,13.11,14.04,14.94,16.89,16.56,17.25,16.83,15.87,17.04,17.25,16.86,18.93,19.29,18.15,17.46,17.13,17.13,18.87,24.6,25.68,25.74,26.52,25.77,26.31,25.83,26.79,25.65,23.88,24.69,24.06
